DATA;PDV; FANTASIA ;MODALIDADE;POPULAR;CDC;APROVADAS;NEGADAS;RESTRICOES;PENDENTE;CANCELADAS;PRÉ CADASTRO;TOTAL
26/06/2025;94504; CONSERTABIKE ;CDC;0;R$ 3.909,70;2;3;0;0;0;1;6
30/06/2025;94604; WT INFORMATICA ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
30/06/2025;94612; W.A MUITO MAIS VARIEDADES ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
01/07/2025;94627; VINICELL ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
01/07/2025;94638; PRIMO IPHONE E INFORMATICA ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
01/07/2025;94651; MANU CELL ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
02/07/2025;94657; UNNI CELULARES ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
07/07/2025;94749; NINJA CELL ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
08/07/2025;94785; BIT CONNECT ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
09/07/2025;94792; PH CELULARES ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
11/07/2025;94873; IMPORTSCELL ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
11/07/2025;94880; SUPER BIRA E UTILIDADES ;POPULAR;0;R$ 0,00;0;0;0;0;0;0;0
17/07/2025;95370; K TECH SOLUCOES EM INFORMATICA ;CDC;0;R$ 0,00;0;0;1;0;0;0;1
18/07/2025;95388; SORRIA MAIS XIQUE-XIQUE ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
21/07/2025;95439; JB IMPORTS - NOVA ARAGUATINS ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
21/07/2025;95440; MOBIZ CELULARES ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
22/07/2025;95519; DJ CELL ;CDC;0;R$ 0,00;0;10;1;0;0;0;11
22/07/2025;95494; N SERVICE TECNOLOGIA ;CDC;0;R$ 0,00;0;2;1;0;0;0;3
24/07/2025;95603; POWER TECH ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
24/07/2025;95605; EZATEC ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
24/07/2025;95606; CARBONO CELL ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
25/07/2025;95734; ALFA CELULAR ;CDC;0;R$ 0,00;0;1;0;0;0;0;1
25/07/2025;95737; TECH CELULARES ;CDC;0;R$ 2.148,55;1;4;2;0;0;0;7
28/07/2025;95777; VIAFONE - CLARO ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
29/07/2025;95783; LOJA SINAI ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
04/08/2025;95995; SHOPPING DO CELULAR - ABAETETUBA ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
04/08/2025;95996; M-TEC CELULARES ;CDC;0;R$ 0,00;0;1;0;0;0;0;1
13/08/2025;96255; TETO FACIL ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
14/08/2025;96371; VIVA CELL - PRIMAVERA DO LESTE ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
14/08/2025;96393; RA STORE IMPORTS ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
15/08/2025;96424; UP CELULARES ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
15/08/2025;96409; CONSERTO LD ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
19/08/2025;96657; CENTRAL DO CELULAR ;CDC;0;R$ 0,00;0;1;0;0;0;1;2
20/08/2025;96739; VALE DIGITAL ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
21/08/2025;96748; FW ASSISTENCIA E ACESSORIOS ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
22/08/2025;96823; TWISTER CELULAR ;CDC;0;R$ 0,00;0;0;2;0;0;1;3
27/08/2025;96908; SMARTCELL - PRIMAVERA DO LESTE ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
27/08/2025;96915; OTICA HORUS ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
27/08/2025;96918; IMPERIO DAS BICICLETAS - CENTRO ;CDC;0;R$ 0,00;0;2;2;0;0;0;4
27/08/2025;96929; MARISTA INFO ELETRO ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
29/08/2025;97039; SUDARIO CELULARES ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
29/08/2025;97148; CHAMPIONS SLEEP ;CDC;0;R$ 4.530,06;1;6;6;0;0;0;13
29/08/2025;97227; GUAJAJARAS ELETRO-MOVEIS ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
29/08/2025;97665; TUDO PARA CELULARES - IPORA ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
01/09/2025;97852; R L INFORMATICA ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
02/09/2025;97968; ELETRO IMPORTS ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
02/09/2025;97988; GLOBAL ELETRONICOS E ACESSORIOS ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
03/09/2025;97997; BALACOBACO VARIEDADES ;CDC;0;R$ 7.738,62;4;1;4;0;0;1;10
04/09/2025;98068; TH APPLE ;CDC;0;R$ 0,00;0;6;6;0;0;2;14
08/09/2025;98268; MILENIUNS ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
11/09/2025;98500; VIA CELL CELULARES ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
11/09/2025;98502; DM ELETRONICOS ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
12/09/2025;98531; WM NACIONAIS E IMPORTADOS ;CDC;0;R$ 0,00;0;0;1;0;0;0;1
17/09/2025;98888; PINHEIRO IMPORTS ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
18/09/2025;98973; TOUCH CELL ;CDC;0;R$ 1.432,36;1;0;1;0;0;1;3
18/09/2025;98974; ZAZA IMPORTADOS ;CDC;0;R$ 0,00;0;1;1;0;0;0;2
19/09/2025;99006; L&V CELL ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
23/09/2025;99112; ADMIRARE IMPORTADOS ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
24/09/2025;99182; JJ ACESSORIOS ;CDC;0;R$ 5.096,98;1;22;19;0;0;11;53
24/09/2025;99170; SMARTPHONE - PATOS DE MINAS ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
24/09/2025;99155; SOS CELULARES - CERQUEIRA CESAR ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
25/09/2025;99191; JC CELULARES - SANTANA DO ARAGUAIA ;CDC;0;R$ 0,00;0;1;1;0;0;0;2
29/09/2025;99300; VALLE CELL IMPORTS ;CDC;0;R$ 2.320,82;2;5;3;0;0;0;10
30/09/2025;99338; RA CELULARES ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
30/09/2025;99341; SA ACESSORIOS E UTILIDADES ;CDC;0;R$ 0,00;0;1;1;0;1;0;3
01/10/2025;99370; INOVA PRIME DISTRIBUIDORA ;CDC;0;R$ 2.016,07;1;8;6;0;0;2;17
02/10/2025;99416; ZERO CELL ;CDC;0;R$ 0,00;0;1;2;0;0;2;5
07/10/2025;99532; COMANDO IMPORTADOS ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
08/10/2025;99573; UNI TELECOM ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
08/10/2025;99598; GOMESCELL ;CDC;0;R$ 0,00;0;0;1;0;0;0;1
15/10/2025;99749; TIAGO CELULARES - SINOP ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
16/10/2025;99803; MEGA MOTOS - ITAPIRA ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
16/10/2025;99817; ITACELL ;CDC;0;R$ 0,00;0;1;0;0;0;0;1
24/10/2025;100003; MUNDO DO CELULAR - ITAITUBA ;CDC;0;R$ 0,00;0;1;1;0;0;1;3
24/10/2025;100006; APPLE PHONE ;CDC;0;R$ 2.880,24;0;0;0;0;0;0;0
29/10/2025;100143; MARANATA - SANTA VITORIA DO PALMAR ;POPULAR;0;R$ 301,85;2;2;3;0;1;0;8
30/10/2025;100183; CASA DO MOTOQUEIRO ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
30/10/2025;100189; MULTIRENNOVA ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
04/11/2025;100303; HOME STORE ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
04/11/2025;100305; AYLA CELL ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
05/11/2025;100351; FARMACIA PAGUE POUCO - ESTANCIA ;POPULAR;0;R$ 0,00;0;0;0;0;0;0;0
05/11/2025;100352; CFC J C ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
18/11/2025;100802; IU CELULARES ;CDC;0;R$ 0,00;0;2;0;0;0;0;2
26/11/2025;101006; MASTER SHOP - SERRA DO RAMALHO ;CDC;0;R$ 0,00;1;12;10;0;0;4;27
28/11/2025;101107; ELETROMOVEIS MACEDO ;CDC;0;R$ 0,00;0;1;1;0;0;1;3
01/12/2025;101127; REINAN INFORMATICA E CELULARES ;CDC;0;R$ 0,00;0;4;2;0;0;0;6
01/12/2025;101128; PLANETA SMART ;CDC;0;R$ 0,00;0;0;0;0;0;0;0
02/12/2025;101153; G CELL ;CDC;0;R$ 0,00;0;1;1;0;0;0;2
03/12/2025;101220; ITEK CELULARES E ACESSORIOS ;CDC;0;R$ 0,00;0;1;0;0;0;0;1
04/12/2025;101256; GLOBAL ACESSORIOS PARA CELULAR ;CDC;0;R$ 0,00;1;2;5;0;1;2;11
